model,task,start_time,window_name,elapsed_time,gpu0_energy,num_in_tokens,num_out_tokens,first_token_time,finished_time,mns,max_tokens,n_samples,energy_per_token,time_per_token_ms,token_per_second,avg_power,decode_token_per_second,decode_time_per_token_ms,PD_ratio
CodeLlama-7b-Instruct-hf,humaneval,1753876741.543803,batch_0_mns512_max-toks512_n512,60.77726745605469,17608.46700000763,68096,262144,,,512,512,512,0.06717097091677715,0.23184687597677112,4313.191608845274,289.7212681162331,,,3.8496240601503757
CodeLlama-7b-Instruct-hf,humaneval,1753876825.446529,batch_0_mns256_max-toks512_n512,61.17516303062439,17820.849999964237,68096,262144,,,256,512,512,0.06798114776597686,0.23336472713708645,4285.137742399972,291.30858206365696,,,3.8496240601503757
CodeLlama-7b-Instruct-hf,humaneval,1753876909.7131195,batch_0_mns128_max-toks512_n512,61.69438672065735,18019.342999994755,68096,262144,,,128,512,512,0.06873833847043898,0.2353454083277029,4249.0737639867875,292.07427057478594,,,3.8496240601503757
CodeLlama-7b-Instruct-hf,humaneval,1753876994.2546754,batch_0_mns64_max-toks512_n512,61.712127923965454,17989.225000023842,68096,262144,,,64,512,512,0.06862344741830384,0.23541308564745123,4247.852226437298,291.5022639016448,,,3.8496240601503757
CodeLlama-7b-Instruct-hf,humaneval,1753877078.9161456,batch_0_mns32_max-toks512_n512,62.27196621894837,18096.492999970917,68096,262144,,,32,512,512,0.06903264236439101,0.23754869926051472,4209.6631263946465,290.60416907896575,,,3.8496240601503757
CodeLlama-7b-Instruct-hf,humaneval,1753877163.9443955,batch_0_mns16_max-toks512_n512,61.65339946746826,17976.927000045776,68096,262144,,,16,512,512,0.06857653427141486,0.235189054365037,4251.89855327153,291.5804668570043,,,3.8496240601503757
CodeLlama-7b-Instruct-hf,humaneval,1753877248.6863742,batch_0_mns8_max-toks512_n512,61.62622261047363,17951.79199999571,68096,262144,,,8,512,512,0.06848065185545238,0.23508538288297132,4253.773619339887,291.3011902979224,,,3.8496240601503757
CodeLlama-7b-Instruct-hf,humaneval,1753877333.3973355,batch_0_mns1_max-toks512_n512,61.31517195701599,17851.81700003147,68096,262144,,,1,512,512,0.06809927749645794,0.23389881880575558,4275.352928697188,291.148445486644,,,3.8496240601503757
CodeLlama-7b-Instruct-hf,humaneval,1753877417.5022328,batch_0_mns512_max-toks300_n512,29.898123264312744,8644.325999975204,68096,153600,,,512,300,512,0.05627816406233857,0.1946492400020361,5137.446208315736,289.1260405730322,,,2.255639097744361
CodeLlama-7b-Instruct-hf,humaneval,1753877470.3287575,batch_0_mns256_max-toks300_n512,30.288623809814453,8671.287999987602,68096,153600,,,256,300,512,0.05645369791658595,0.19719156126181284,5071.210926071485,286.28860969172973,,,2.255639097744361
CodeLlama-7b-Instruct-hf,humaneval,1753877523.365776,batch_0_mns128_max-toks300_n512,29.84034204483032,8565.597000002861,68096,153600,,,128,300,512,0.055765605468768624,0.1942730601876974,5147.394080444543,287.04754748234546,,,2.255639097744361
CodeLlama-7b-Instruct-hf,humaneval,1753877576.0196464,batch_0_mns64_max-toks300_n512,29.8786416053772,8589.508000016212,68096,153600,,,64,300,512,0.05592127604177222,0.1945224062850078,5140.795958152157,287.4798698502537,,,2.255639097744361
CodeLlama-7b-Instruct-hf,humaneval,1753877629.036869,batch_0_mns32_max-toks300_n512,29.83989214897156,8619.663999974728,68096,153600,,,32,300,512,0.05611760416650213,0.19427013117820027,5147.4716876714265,288.8637786270218,,,2.255639097744361
CodeLlama-7b-Instruct-hf,humaneval,1753877681.709362,batch_0_mns16_max-toks300_n512,29.73796582221985,8615.00199997425,68096,153600,,,16,300,512,0.05608725260399903,0.19360654832174382,5165.114551487982,289.69708457789756,,,2.255639097744361
CodeLlama-7b-Instruct-hf,humaneval,1753877734.3873932,batch_0_mns8_max-toks300_n512,29.788668394088745,8588.773999989033,68096,153600,,,8,300,512,0.05591649739576193,0.19393664319068193,5156.323134956927,288.323529147526,,,2.255639097744361
CodeLlama-7b-Instruct-hf,humaneval,1753877787.09999,batch_0_mns1_max-toks300_n512,29.830490827560425,8611.649999976158,68096,153600,,,1,300,512,0.05606542968734478,0.19420892465859652,5149.093955171827,288.68616509721807,,,2.255639097744361
CodeLlama-7b-Instruct-hf,humaneval,1753877839.8366842,batch_0_mns512_max-toks256_n512,25.065102338790894,7088.972000002861,68096,131072,,,512,256,512,0.0540845642090062,0.19123155470879283,5229.262511214735,282.82238405354235,,,1.9248120300751879
CodeLlama-7b-Instruct-hf,humaneval,1753877887.664376,batch_0_mns256_max-toks256_n512,24.47380042076111,7085.091000020504,68096,131072,,,256,256,512,0.05405495452896503,0.18672027908905875,5355.604677106532,289.496967296106,,,1.9248120300751879
CodeLlama-7b-Instruct-hf,humaneval,1753877935.221115,batch_0_mns128_max-toks256_n512,24.50762176513672,7084.648000001907,68096,131072,,,128,256,512,0.0540515747070458,0.18697831546887755,5348.213762073653,289.07937570997456,,,1.9248120300751879
CodeLlama-7b-Instruct-hf,humaneval,1753877982.4809403,batch_0_mns64_max-toks256_n512,24.47479820251465,7096.197000026703,68096,131072,,,64,256,512,0.05413968658467638,0.1867278915597126,5355.386341307324,289.9389380582353,,,1.9248120300751879
CodeLlama-7b-Instruct-hf,humaneval,1753878029.6894083,batch_0_mns32_max-toks256_n512,24.455414056777958,7019.903999984264,68096,131072,,,32,256,512,0.05355761718737995,0.18658000226423613,5359.631192327845,287.0490756642355,,,1.9248120300751879
CodeLlama-7b-Instruct-hf,humaneval,1753878076.9240575,batch_0_mns16_max-toks256_n512,24.505717992782596,6997.353999972343,68096,131072,,,16,256,512,0.05338557434060931,0.18696379083849027,5348.62924802298,285.5396443406881,,,1.9248120300751879
CodeLlama-7b-Instruct-hf,humaneval,1753878124.2771437,batch_0_mns8_max-toks256_n512,24.453423500061035,7024.498000025749,68096,131072,,,8,256,512,0.05359266662617301,0.1865648155217059,5360.067476837051,287.2603093799204,,,1.9248120300751879
CodeLlama-7b-Instruct-hf,humaneval,1753878171.5102177,batch_0_mns1_max-toks256_n512,24.89879250526428,7064.366999983788,68096,131072,,,1,256,512,0.053896842956419284,0.18996271137439177,5264.19102341159,283.7232768814066,,,1.9248120300751879
CodeLlama-7b-Instruct-hf,humaneval,1753878219.1902852,batch_0_mns512_max-toks128_n512,11.158596515655518,3166.559000015259,68096,65536,,,512,128,512,0.04831785583519377,0.17026667046593502,5873.140041227672,283.77753381194265,,,0.9624060150375939
CodeLlama-7b-Instruct-hf,humaneval,1753878253.5036683,batch_0_mns256_max-toks128_n512,11.119224548339844,3179.82699996233,68096,65536,,,256,128,512,0.04852030944766739,0.1696659019216895,5893.936192680348,285.97560793365705,,,0.9624060150375939
CodeLlama-7b-Instruct-hf,humaneval,1753878288.2772367,batch_0_mns128_max-toks128_n512,11.094986200332642,3160.9469999670982,68096,65536,,,128,128,512,0.048232223510240146,0.16929605408222415,5906.8122137939345,284.89868692872545,,,0.9624060150375939
CodeLlama-7b-Instruct-hf,humaneval,1753878322.2857747,batch_0_mns64_max-toks128_n512,11.103189706802368,3168.1759999990463,68096,65536,,,64,128,512,0.04834252929686045,0.16942122965701856,5902.448010939539,285.3392658920403,,,0.9624060150375939
CodeLlama-7b-Instruct-hf,humaneval,1753878356.2487023,batch_0_mns32_max-toks128_n512,11.11682105064392,3172.4900000095367,68096,65536,,,32,128,512,0.048408355713036144,0.1696292274573352,5895.2104834145875,285.3774460843531,,,0.9624060150375939
CodeLlama-7b-Instruct-hf,humaneval,1753878390.0952473,batch_0_mns16_max-toks128_n512,11.135114192962646,3163.5799999833107,68096,65536,,,16,128,512,0.04827239990208909,0.16990835865726694,5885.52563218602,284.1084469508792,,,0.9624060150375939
CodeLlama-7b-Instruct-hf,humaneval,1753878423.962212,batch_0_mns8_max-toks128_n512,11.101228952407835,3181.5950000286102,68096,65536,,,8,128,512,0.048547286987741245,0.169391310919309,5903.490530729516,286.59844902473867,,,0.9624060150375939
CodeLlama-7b-Instruct-hf,humaneval,1753878458.122432,batch_0_mns1_max-toks128_n512,11.16938328742981,3172.188999950886,68096,65536,,,1,128,512,0.04840376281663339,0.17043126354110427,5867.468087853623,284.0075336586322,,,0.9624060150375939
Codestral-22B-v0.1,humaneval,1753876746.9116776,batch_0_mns512_max-toks512_n512,88.02448391914368,25936.304999947548,68608,262144,,,512,512,512,0.09893915176371593,0.33578675811440917,2978.080510427038,294.6487595857053,,,3.8208955223880596
Codestral-22B-v0.1,humaneval,1753876858.1521008,batch_0_mns256_max-toks512_n512,90.03364658355713,26597.81599998474,68608,262144,,,256,512,512,0.10146261596673867,0.343451105436543,2911.6225982995497,295.42084553134504,,,3.8208955223880596
Codestral-22B-v0.1,humaneval,1753876971.6350696,batch_0_mns128_max-toks512_n512,90.35570025444032,26670.28700000048,68608,262144,,,128,512,512,0.10173907089233582,0.3446796426942456,2901.2447389794597,295.16994417504753,,,3.8208955223880596
Codestral-22B-v0.1,humaneval,1753877084.756261,batch_0_mns64_max-toks512_n512,89.9112536907196,26544.06099998951,68608,262144,,,64,512,512,0.10125755691524319,0.34298421360290376,2915.586083380993,295.2251237792418,,,3.8208955223880596
Codestral-22B-v0.1,humaneval,1753877197.4667296,batch_0_mns32_max-toks512_n512,90.586416721344,26675.929000020027,68608,262144,,,32,512,512,0.10176059341438304,0.3455597561696777,2893.8554971921476,294.4804526497474,,,3.8208955223880596
Codestral-22B-v0.1,humaneval,1753877310.8545296,batch_0_mns16_max-toks512_n512,89.68716311454773,26490.509000003334,68608,262144,,,16,512,512,0.10105327224732717,0.3421293758947286,2922.8709092425165,295.36566973547673,,,3.8208955223880596
Codestral-22B-v0.1,humaneval,1753877423.301247,batch_0_mns8_max-toks512_n512,89.39990663528442,26358.99500000477,68608,262144,,,8,512,512,0.10055158615114124,0.3410335793887498,2932.262570132672,294.8436524384622,,,3.8208955223880596
Codestral-22B-v0.1,humaneval,1753877535.4546244,batch_0_mns1_max-toks512_n512,89.3595826625824,26367.68599998951,68608,262144,,,1,512,512,0.10058473968501858,0.34087975564034423,2933.585768745625,295.0739608929538,,,3.8208955223880596
Codestral-22B-v0.1,humaneval,1753877647.5490408,batch_0_mns512_max-toks300_n512,48.307493448257446,14230.886999964714,68608,153600,,,512,300,512,0.09264900390602028,0.3145019104704261,3179.630923399539,294.5896378417467,,,2.2388059701492535
Codestral-22B-v0.1,humaneval,1753877718.7919023,batch_0_mns256_max-toks300_n512,48.27591753005981,14200.18599998951,68608,153600,,,256,300,512,0.09244912760409837,0.3142963380863269,3181.710630447539,294.1463720735608,,,2.2388059701492535
Codestral-22B-v0.1,humaneval,1753877789.9954965,batch_0_mns128_max-toks300_n512,48.909841775894165,14289.287000000477,68608,153600,,,128,300,512,0.09302921223958643,0.31842344906181097,3140.472232639765,292.15565786277256,,,2.2388059701492535
Codestral-22B-v0.1,humaneval,1753877861.6688194,batch_0_mns64_max-toks300_n512,48.35456252098084,14216.566999971868,68608,153600,,,64,300,512,0.09255577473940019,0.31480834974596905,3176.5358218958886,294.00673398303127,,,2.2388059701492535
Codestral-22B-v0.1,humaneval,1753877932.8112812,batch_0_mns32_max-toks300_n512,48.31460380554199,14246.95499998331,68608,153600,,,32,300,512,0.09275361328114134,0.31454820185899734,3179.1629838922763,294.87885396566355,,,2.2388059701492535
Codestral-22B-v0.1,humaneval,1753878003.9091344,batch_0_mns16_max-toks300_n512,48.336620569229126,14216.238000035286,68608,153600,,,16,300,512,0.09255363281272973,0.3146915401642521,3177.7149124442735,294.1090591899029,,,2.2388059701492535
Codestral-22B-v0.1,humaneval,1753878075.02237,batch_0_mns8_max-toks300_n512,48.21095108985901,14197.636999964714,68608,153600,,,8,300,512,0.0924325325518536,0.3138733794912696,3185.998129630535,294.4898758272191,,,2.2388059701492535
Codestral-22B-v0.1,humaneval,1753878145.9526055,batch_0_mns1_max-toks300_n512,48.30734157562256,14204.555999994278,68608,153600,,,1,300,512,0.09247757812496275,0.3145009217162927,3179.64091978747,294.04549156897417,,,2.2388059701492535
Codestral-22B-v0.1,humaneval,1753878217.1647575,batch_0_mns512_max-toks256_n512,41.22855615615845,12085.667000055311,68608,131072,,,512,256,512,0.09220632171673059,0.3145489208691288,3179.1557168179256,293.1382548124969,,,1.9104477611940298
Codestral-22B-v0.1,humaneval,1753878281.3126366,batch_0_mns256_max-toks256_n512,40.78756999969482,12025.194999992847,68608,131072,,,256,256,512,0.09174495697016027,0.3111844634986482,3213.528043003805,294.82499202778746,,,1.9104477611940298
Codestral-22B-v0.1,humaneval,1753878344.8435638,batch_0_mns128_max-toks256_n512,40.65823745727539,11960.033000051975,68608,131072,,,128,256,512,0.09124781036416607,0.31019773450680077,3223.7501720957152,294.16014436483755,,,1.9104477611940298
Codestral-22B-v0.1,humaneval,1753878408.2521098,batch_0_mns64_max-toks256_n512,40.62566518783569,11958.405000030994,68608,131072,,,64,256,512,0.09123538970970912,0.30994922781246714,3226.334864770316,294.3559187213415,,,1.9104477611940298
Codestral-22B-v0.1,humaneval,1753878471.61882,batch_0_mns32_max-toks256_n512,40.83290982246399,12014.528999984264,68608,131072,,,32,256,512,0.09166358184802448,0.31153037889453117,3209.959823335723,294.2364149952042,,,1.9104477611940298
Codestral-22B-v0.1,humaneval,1753878535.1905255,batch_0_mns16_max-toks256_n512,40.91683220863342,12052.22000002861,68608,131072,,,16,256,512,0.09195114135764015,0.3121706558886217,3203.376041714781,294.5540832333936,,,1.9104477611940298
Codestral-22B-v0.1,humaneval,1753878598.9948113,batch_0_mns8_max-toks256_n512,40.87478137016296,12042.07499998808,68608,131072,,,8,256,512,0.09187374114981141,0.31184983345156064,3206.671585910368,294.60891523638435,,,1.9104477611940298
Codestral-22B-v0.1,humaneval,1753878662.6943743,batch_0_mns1_max-toks256_n512,41.148566007614136,12045.402000010014,68608,131072,,,1,256,512,0.09189912414558421,0.31393864446727093,3185.335789727069,292.72956918550045,,,1.9104477611940298
Codestral-22B-v0.1,humaneval,1753878726.7346914,batch_0_mns512_max-toks128_n512,20.14726138114929,5929.361000001431,68608,65536,,,512,128,512,0.0904748687744359,0.3074228116020094,3252.8490478273397,294.3010907452274,,,0.9552238805970149
Codestral-22B-v0.1,humaneval,1753878769.695371,batch_0_mns256_max-toks128_n512,20.10177254676819,5917.1669999957085,68608,65536,,,256,128,512,0.09028880310052045,0.3067287070734892,3260.210006233325,294.36045931914725,,,0.9552238805970149
Codestral-22B-v0.1,humaneval,1753878812.9168353,batch_0_mns128_max-toks128_n512,20.064250707626343,5902.85799998045,68608,65536,,,128,128,512,0.09007046508759231,0.3061561692447867,3266.3068736023133,294.19777922415994,,,0.9552238805970149
Codestral-22B-v0.1,humaneval,1753878855.8105948,batch_0_mns64_max-toks128_n512,20.082690715789795,5912.069999992847,68608,65536,,,64,128,512,0.09021102905262524,0.3064375414396636,3263.3077373677343,294.3863491033374,,,0.9552238805970149
Codestral-22B-v0.1,humaneval,1753878899.0123496,batch_0_mns32_max-toks128_n512,20.05797481536865,5895.14200001955,68608,65536,,,32,128,512,0.08995272827178269,0.3060604067286476,3267.328860627822,293.9051451746078,,,0.9552238805970149
Codestral-22B-v0.1,humaneval,1753878941.8376455,batch_0_mns16_max-toks128_n512,20.017272472381592,5878.719000041485,68608,65536,,,16,128,512,0.08970213317934395,0.30543933826265857,3273.9725200035073,293.68231901486695,,,0.9552238805970149
Codestral-22B-v0.1,humaneval,1753878984.9472637,batch_0_mns8_max-toks128_n512,20.043444871902462,5878.29699999094,68608,65536,,,8,128,512,0.08969569396958832,0.305838697386207,3269.697420719851,293.27777922204,,,0.9552238805970149
Codestral-22B-v0.1,humaneval,1753879027.8963666,batch_0_mns1_max-toks128_n512,20.025463342666622,5869.503000020981,68608,65536,,,1,128,512,0.08956150817903108,0.30556432102457615,3272.633390727484,293.10198219060976,,,0.9552238805970149
DeepSeek-Coder-V2-Lite-Instruct,humaneval,1753876758.9225953,batch_0_mns512_max-toks512_n512,54.06429362297058,8822.056999981403,68096,262144,,,512,512,512,0.03365347671501695,0.206238913051493,4848.745492322894,163.1771435229319,,,3.8496240601503757
DeepSeek-Coder-V2-Lite-Instruct,humaneval,1753876836.007846,batch_0_mns256_max-toks512_n512,48.78113460540772,9687.183000028132,68096,262144,,,256,512,512,0.0369536705018163,0.1860852607933339,5373.880745507292,198.58461838553137,,,3.8496240601503757
DeepSeek-Coder-V2-Lite-Instruct,humaneval,1753876907.7975135,batch_0_mns128_max-toks512_n512,49.38733959197998,9842.636000037191,68096,262144,,,128,512,512,0.03754667663588406,0.18839774929801933,5307.919036857163,199.29471968632907,,,3.8496240601503757
DeepSeek-Coder-V2-Lite-Instruct,humaneval,1753876979.9374318,batch_0_mns64_max-toks512_n512,48.76963305473328,9873.092999994757,68096,262144,,,64,512,512,0.037662860870341326,0.18604138585942567,5375.148090735079,202.4434546988361,,,3.8496240601503757
DeepSeek-Coder-V2-Lite-Instruct,humaneval,1753877051.4849198,batch_0_mns32_max-toks512_n512,48.938559770584106,9828.06400001049,68096,262144,,,32,512,512,0.03749108886722752,0.18668579014047282,5356.5940891781,200.8245450230418,,,3.8496240601503757
DeepSeek-Coder-V2-Lite-Instruct,humaneval,1753877123.2899852,batch_0_mns16_max-toks512_n512,49.44057011604309,9887.51399999857,68096,262144,,,16,512,512,0.03771787261962345,0.18860080763261067,5302.20422994144,199.98786374815987,,,3.8496240601503757
DeepSeek-Coder-V2-Lite-Instruct,humaneval,1753877195.476916,batch_0_mns8_max-toks512_n512,48.89277362823486,9817.120000004768,68096,262144,,,8,512,512,0.03744934082033069,0.18651112986844964,5361.610326983284,200.78877248100167,,,3.8496240601503757
DeepSeek-Coder-V2-Lite-Instruct,humaneval,1753877267.1540186,batch_0_mns1_max-toks512_n512,49.38953804969788,9828.510999977589,68096,262144,,,1,512,512,0.03749279403677974,0.1884061357486644,5307.682767476371,198.99985681355668,,,3.8496240601503757
DeepSeek-Coder-V2-Lite-Instruct,humaneval,1753877339.307754,batch_0_mns512_max-toks300_n512,28.78161120414734,5609.073000013828,68096,153600,,,512,300,512,0.03651740234384003,0.1873802812770009,5336.740841592174,194.88391251722484,,,2.255639097744361
DeepSeek-Coder-V2-Lite-Instruct,humaneval,1753877390.9737966,batch_0_mns256_max-toks300_n512,28.88362979888916,5584.76700001955,68096,153600,,,256,300,512,0.03635916015637728,0.18804446483651796,5317.891174671797,193.35405691407718,,,2.255639097744361
DeepSeek-Coder-V2-Lite-Instruct,humaneval,1753877442.6783028,batch_0_mns128_max-toks300_n512,28.78320837020874,5559.274999976158,68096,153600,,,128,300,512,0.03619319661442811,0.18739067949354649,5336.444708470352,193.142992555692,,,2.255639097744361
DeepSeek-Coder-V2-Lite-Instruct,humaneval,1753877494.1737072,batch_0_mns64_max-toks300_n512,29.227843046188354,5595.949999988079,68096,153600,,,64,300,512,0.03643196614575572,0.1902854364986221,5255.262927109197,191.4595610474874,,,2.255639097744361
DeepSeek-Coder-V2-Lite-Instruct,humaneval,1753877546.8267338,batch_0_mns32_max-toks300_n512,28.82366943359375,5540.621999979019,68096,153600,,,32,300,512,0.03607175781236341,0.18765409787495932,5328.953704311515,192.2247274152218,,,2.255639097744361
DeepSeek-Coder-V2-Lite-Instruct,humaneval,1753877598.3840847,batch_0_mns16_max-toks300_n512,28.8497211933136,5541.083999991417,68096,153600,,,16,300,512,0.03607476562494412,0.18782370568563542,5324.141573874182,192.06715943153222,,,2.255639097744361
DeepSeek-Coder-V2-Lite-Instruct,humaneval,1753877649.9546106,batch_0_mns8_max-toks300_n512,28.80909824371338,5541.694000005722,68096,153600,,,8,300,512,0.03607873697920392,0.187559233357509,5331.649005484511,192.35916213430983,,,2.255639097744361
DeepSeek-Coder-V2-Lite-Instruct,humaneval,1753877701.6683912,batch_0_mns1_max-toks300_n512,29.428671836853027,5580.367999970913,68096,153600,,,1,300,512,0.03633052083314396,0.1915929156045119,5219.399667491936,189.62350835632046,,,2.255639097744361
DeepSeek-Coder-V2-Lite-Instruct,humaneval,1753877754.0000155,batch_0_mns512_max-toks256_n512,24.64703321456909,4703.826000034809,68096,131072,,,512,256,512,0.035887344360617135,0.1880419404187705,5317.962566079642,190.84755390577126,,,1.9248120300751879
DeepSeek-Coder-V2-Lite-Instruct,humaneval,1753877801.592451,batch_0_mns256_max-toks256_n512,24.623589992523197,4691.238000035286,68096,131072,,,256,256,512,0.0357913055422614,0.1878630828286987,5323.025604300559,190.51803581280194,,,1.9248120300751879
DeepSeek-Coder-V2-Lite-Instruct,humaneval,1753877848.9810903,batch_0_mns128_max-toks256_n512,24.71618223190308,4720.731999993324,68096,131072,,,128,256,512,0.03601632690424594,0.18856950555345978,5303.084382943871,190.99762073690783,,,1.9248120300751879
DeepSeek-Coder-V2-Lite-Instruct,humaneval,1753877896.4740036,batch_0_mns64_max-toks256_n512,24.632692098617557,4702.238000035286,68096,131072,,,64,256,512,0.03587522888210515,0.18793252638715788,5321.058675813841,190.89419788993288,,,1.9248120300751879
DeepSeek-Coder-V2-Lite-Instruct,humaneval,1753877943.8921962,batch_0_mns32_max-toks256_n512,24.67252492904663,4693.249000012875,68096,131072,,,32,256,512,0.03580664825449276,0.18823642676579766,5312.46803385294,190.22167425140893,,,1.9248120300751879
DeepSeek-Coder-V2-Lite-Instruct,humaneval,1753877991.915671,batch_0_mns16_max-toks256_n512,24.696592330932617,4713.087000012398,68096,131072,,,16,256,512,0.035958000183200056,0.188420046470128,5307.290910569536,190.83956753455539,,,1.9248120300751879
DeepSeek-Coder-V2-Lite-Instruct,humaneval,1753878039.5357096,batch_0_mns8_max-toks256_n512,24.64979839324951,4693.134000003338,68096,131072,,,8,256,512,0.0358057708740489,0.18806303705787286,5317.366004741638,190.39238881923592,,,1.9248120300751879
DeepSeek-Coder-V2-Lite-Instruct,humaneval,1753878086.9541965,batch_0_mns1_max-toks256_n512,24.601328134536743,4685.597000002861,68096,131072,,,1,256,512,0.035748268127463234,0.1876932383311214,5327.842435303063,190.4611399180906,,,1.9248120300751879
DeepSeek-Coder-V2-Lite-Instruct,humaneval,1753878134.3301458,batch_0_mns512_max-toks128_n512,12.76860785484314,2344.030999958515,68096,65536,,,512,128,512,0.03576707458432793,0.1948334938788321,5132.587729612368,183.5776481356519,,,0.9624060150375939
DeepSeek-Coder-V2-Lite-Instruct,humaneval,1753878169.9917126,batch_0_mns256_max-toks128_n512,13.180340766906738,2360.2260000109677,68096,65536,,,256,128,512,0.03601419067399548,0.2011160395340994,4972.253840701001,179.07169789851218,,,0.9624060150375939
DeepSeek-Coder-V2-Lite-Instruct,humaneval,1753878205.959933,batch_0_mns128_max-toks128_n512,12.803134441375732,2330.860000014305,68096,65536,,,128,128,512,0.03556610107443703,0.19536032777978107,5118.746530397128,182.0538564745281,,,0.9624060150375939
DeepSeek-Coder-V2-Lite-Instruct,humaneval,1753878241.5422935,batch_0_mns64_max-toks128_n512,12.731893539428713,2311.4330000281334,68096,65536,,,64,128,512,0.035269668579530844,0.19427327788434925,5147.388312433269,181.54667982967194,,,0.9624060150375939
DeepSeek-Coder-V2-Lite-Instruct,humaneval,1753878277.3583412,batch_0_mns32_max-toks128_n512,12.72905945777893,2294.3740000128746,68096,65536,,,32,128,512,0.035009368896680826,0.19423003323026933,5148.5343608753365,180.24693871712148,,,0.9624060150375939
DeepSeek-Coder-V2-Lite-Instruct,humaneval,1753878313.548566,batch_0_mns16_max-toks128_n512,12.699992895126345,2308.696000039577,68096,65536,,,16,128,512,0.0352279052740414,0.19378651268198158,5160.3178475123095,181.78718831610882,,,0.9624060150375939
DeepSeek-Coder-V2-Lite-Instruct,humaneval,1753878349.0133364,batch_0_mns8_max-toks128_n512,12.680498600006104,2298.455999970436,68096,65536,,,8,128,512,0.03507165527298639,0.1934890533448197,5168.251033911904,181.2591186256138,,,0.9624060150375939
DeepSeek-Coder-V2-Lite-Instruct,humaneval,1753878384.5786338,batch_0_mns1_max-toks128_n512,12.68316650390625,2297.777999997139,68096,65536,,,1,128,512,0.03506130981440947,0.19352976232767105,5167.163892377804,181.16753409248813,,,0.9624060150375939
