model_name,policy,codesearchnet-python_BERTScore,codesearchnet-python_cosine,codesearchnet-python_euclidean,codesearchnet-python_generation_time,humaneval_generation_time,humaneval_pass@1,humaneval_pass@10,humanevalplus_generation_time,humanevalplus_pass@1,humanevalplus_pass@10,mbpp_generation_time,mbpp_pass@1,mbpp_pass@10,mbppplus_generation_time,mbppplus_pass@1,mbppplus_pass@10,heesynthesize_CodeLlama-34b-Instruct-hf_pass@1,heesynthesize_CodeLlama-7b-Instruct-hf_pass@1,heesynthesize_Codestral-22B-v0.1_pass@1,heesynthesize_DeepSeek-Coder-V2-Lite-Instruct_pass@1,heesynthesize_deepseek-coder-33b-instruct_pass@1,heesynthesize_deepseek-coder-6.7b-instruct_pass@1
CodeLlama-34B-Instruct-GPTQ,greedy,0.8434792757034302,0.5706080198287964,-22.067895889282227,883.8172492980957,915.9316394329071,0.4384146341463415,0.43902439024390244,977.0516095161438,0.40182926829268295,0.4024390243902439,2458.909436225891,0.48960000000000004,0.4927894736842105,2293.359352827072,0.5076719576719577,0.5079365079365079,0.45182926829268294,0.3829268292682927,0.5814024390243903,0.5759146341463415,0.5426829268292683,0.41371951219512193
CodeLlama-34b-Instruct-AWQ,greedy,0.8436687588691711,0.5645337104797363,-22.220664978027344,966.0106341838837,939.9122197628021,0.44847560975609757,0.47791285962395225,1196.170111656189,0.38262195121951226,0.4040414344773251,2502.0061452388763,0.4693,0.4917536318170993,1972.7319991588593,0.5392857142857143,0.5594327413212862,0.4301829268292683,0.39634146341463417,0.5027439024390243,0.5326219512195122,0.48323170731707316,0.3591463414634146
CodeLlama-34b-Instruct-hf,greedy,0.8448594212532043,0.5740569829940796,-21.9764404296875,966.4933698177338,1295.3402869701385,0.4545731707317074,0.47388968918267416,1102.450498342514,0.39420731707317075,0.40826067762940066,2384.8155195713043,0.46140000000000003,0.47351321743272207,3405.05446767807,0.5349206349206349,0.5396681921449723,0.4292682926829268,0.3820121951219512,0.5179878048780487,0.5515243902439024,0.4878048780487805,0.3548780487804878
CodeLlama-34b-Instruct-hf_4bits64gs_HQQ,greedy,0.8456620573997498,0.5689519047737122,-22.126924514770508,1746.884872674942,1553.0375483036041,0.4573170731707317,0.4573170731707317,1659.4479591846466,0.39634146341463417,0.39634146341463417,4678.511089086533,0.462,0.462,3020.6926939487457,0.5201058201058201,0.5211640211640212,0.4094512195121951,0.3695121951219512,0.4853658536585366,0.501219512195122,0.46219512195121953,0.33414634146341465
CodeLlama-7B-Instruct-AWQ,greedy,0.8280825614929199,0.5605740547180176,-22.39837646484375,506.93846011161804,1009.8185656070709,0.33567073170731704,0.3445027561730726,1286.3652293682098,0.2948170731707317,0.30333478063882807,1950.7008471488953,0.38580000000000003,0.4157601809954751,2555.4668464660645,0.4625661375661376,0.4856351079261296,0.3780487804878049,0.36128048780487804,0.4628048780487805,0.4652439024390244,0.45182926829268294,0.2673780487804878
CodeLlama-7B-Instruct-GPTQ,greedy,0.8324957489967346,0.5562410950660706,-22.51553726196289,460.5511929988861,397.0600869655609,0.3521341463414634,0.35365853658536583,932.0991291999817,0.30335365853658536,0.3048780487804878,2164.4227890968323,0.3356,0.34031578947368424,1840.5596587657928,0.3865079365079366,0.3914770586597212,0.37408536585365854,0.33719512195121953,0.48841463414634145,0.46737804878048783,0.4573170731707317,0.38414634146341464
CodeLlama-7b-Instruct-hf,greedy,0.831479012966156,0.5637880563735962,-22.339338302612305,472.8453643321991,1391.0804250240326,0.3439024390243902,0.3475587973907841,1641.3174250125885,0.30365853658536585,0.31097125331815356,2179.8827271461487,0.38920000000000005,0.39399857108835434,3403.365911245346,0.435978835978836,0.4444425543496751,0.3725609756097561,0.3402439024390244,0.4841463414634146,0.5170731707317073,0.46432926829268295,0.3695121951219512
CodeLlama-7b-Instruct-hf_4bitgs64_HQQ,greedy,0.831356942653656,0.5627782940864563,-22.35956382751465,776.7963993549347,1027.9609143733978,0.3353658536585366,0.3353658536585366,1299.156968832016,0.2865853658536585,0.2865853658536585,2780.881338596344,0.3788,0.37999928554417717,3294.755497455597,0.4708994708994709,0.4708994708994709,0.3548780487804878,0.3231707317073171,0.49390243902439024,0.48292682926829267,0.474390243902439,0.42073170731707316
Codestral-22B-v0.1,greedy,0.8560304045677185,0.5536488890647888,-22.5621395111084,528.7456958293915,1475.852075099945,0.7292682926829268,0.7378026998298085,1871.4187467098236,0.6320121951219513,0.6570568486108771,2678.363562107086,0.6744,0.6779992855441772,3674.4624218940735,0.6825396825396826,0.6877141319865777,0.5082317073170731,0.42073170731707316,0.6914634146341463,0.7146341463414634,0.6207317073170732,0.22195121951219512
Codestral-22B-v0.1-AWQ,greedy,0.8552732467651367,0.5524439215660095,-22.585464477539062,626.5705041885376,1137.2378072738647,0.6829268292682927,0.6829268292682927,1118.5154118537903,0.5850609756097561,0.5853658536585366,2949.622359752655,0.6501,0.6519891640866873,1933.4173202514648,0.6826719576719577,0.6838624338624338,0.5179878048780487,0.4655487804878049,0.6954268292682927,0.7277439024390244,0.6521341463414634,0.2451219512195122
Codestral-22B-v0.1-GPTQ,greedy,0.8481163382530212,0.537218451499939,-23.036415100097656,646.8408260345459,960.4765410423279,0.7323170731707317,0.7377057690855546,1078.9744386672974,0.6524390243902439,0.6582722947972514,2507.6143250465393,0.6333,0.6357894736842106,2380.0805764198303,0.6501322751322751,0.6521164021164021,0.5024390243902439,0.4347560975609756,0.6664634146341464,0.6597560975609756,0.6646341463414634,0.34573170731707314
Codestral-22B-v0.1_4bits64gs_HQQ,greedy,0.8553558588027954,0.5519276261329651,-22.616607666015625,1124.2409884929657,1767.9951539039612,0.725609756097561,0.725609756097561,2108.0073504447937,0.6204268292682927,0.6280153811302343,2981.8393516540527,0.64,0.64,4224.32131934166,0.6726190476190477,0.6745601749471719,0.4817073170731707,0.4817073170731707,0.6890243902439024,0.6902439024390243,0.6536585365853659,0.23170731707317074
DeepSeek-Coder-V2-Lite-Instruct,greedy,0.86391681432724,0.5495046377182007,-22.540678024291992,272.26717829704285,1402.5750451087952,0.7609756097560977,0.7682905047078573,1830.1744651794434,0.6945121951219513,0.7133750631683502,3985.593464612961,0.6904000000000001,0.6959111693260299,3588.037996530533,0.7052910052910053,0.7191161664845876,0.5329268292682927,0.4402439024390244,0.6621951219512195,0.65,0.6097560975609756,0.22317073170731708
DeepSeek-Coder-V2-Lite-Instruct-AWQ,greedy,0.8656792044639587,0.5546863079071045,-22.33135986328125,424.26231122016907,1333.2614619731903,0.7460365853658537,0.767809118315046,2010.1911623477936,0.6753048780487805,0.7004738352337083,3794.934341430664,0.654,0.6731215440905844,3554.9967741966248,0.6743386243386243,0.6875287451912838,0.46189024390243905,0.37682926829268293,0.613719512195122,0.636890243902439,0.6088414634146342,0.2201219512195122
Mixtral-8x7B-Instruct-v0.1-AWQ,greedy,0.0,0.0656413659453392,-32.99739074707031,1434.1380343437195,1229.7489914894104,0.0,0.0,1456.3064105510712,0.0,0.0,3666.1712687015533,0.0,0.0,2815.052963256836,0.0,0.0,,,,,,
deepseek-coder-33B-instruct-AWQ,greedy,0.7336699366569519,0.4805603623390198,-24.19117546081543,1348.2484652996063,1543.763864517212,0.6951219512195121,0.6951219512195121,2000.838625907898,0.6030487804878049,0.6036585365853658,4165.690283060074,0.651,0.652,4036.9589505195618,0.6685185185185185,0.6716791979949874,0.4996951219512195,0.45,0.5902439024390244,0.6378048780487805,0.6271341463414634,0.4954268292682927
deepseek-coder-33B-instruct-GPTQ,greedy,0.6056191921234131,0.39955317974090576,-26.043743133544922,1945.6009912490845,1510.821944475174,0.6253048780487804,0.6436136071887035,1828.5934324264526,0.5557926829268293,0.5771819219442492,4008.832342863083,0.617,0.6408218406980017,2762.8601982593536,0.6343915343915344,0.646875641844682,0.4899390243902439,0.42835365853658536,0.6201219512195122,0.599390243902439,0.5945121951219512,0.44115853658536586
deepseek-coder-33b-instruct,greedy,0.6842412948608398,0.4518578052520752,-24.830690383911133,2084.444647550583,1365.828052997589,0.698780487804878,0.7073148949517597,1474.084643125534,0.5932926829268294,0.6033942460167636,3593.999077796936,0.6703999999999999,0.6759985710883543,2647.446110725403,0.6701058201058201,0.6796629583007292,0.48841463414634145,0.4582317073170732,0.6396341463414634,0.6524390243902439,0.6454268292682926,0.48048780487804876
deepseek-coder-33b-instruct_4bitgs64_HQQ,greedy,0.73207026720047,0.4757773280143738,-24.378211975097656,2871.171865940094,1904.5303201675415,0.6951219512195121,0.6951219512195121,2334.6840534210205,0.6170731707317073,0.6243581514762516,3105.9896647930145,0.6552,0.656,4453.255163431168,0.6772486772486772,0.6772486772486772,0.5228658536585366,0.4326219512195122,0.6679878048780488,0.6426829268292683,0.614329268292683,0.511890243902439
deepseek-coder-6.7B-instruct-AWQ,greedy,0.7610746622085571,0.4960678219795227,-24.023908615112305,1118.6625356674194,1139.2395191192627,0.7216463414634146,0.7256097230942432,1606.6466846466064,0.6259146341463415,0.6280487804878049,1875.764366388321,0.5993999999999999,0.6025263157894738,1825.9755282402039,0.6613756613756614,0.6640202189737793,0.47774390243902437,0.42896341463414633,0.5807926829268293,0.5865853658536585,0.5533536585365854,0.39725609756097563
deepseek-coder-6.7B-instruct-GPTQ,greedy,0.7430517673492432,0.5066947937011719,-23.693899154663086,1034.923668384552,679.8337886333466,0.7124999999999999,0.7409716453975685,1158.5710649490356,0.6198170731707316,0.6401919882201919,1698.5317080020905,0.5903999999999999,0.6082321981424148,1414.4299139976501,0.6765873015873016,0.6915015668885638,0.48628048780487804,0.39969512195121953,0.6009146341463415,0.6030487804878049,0.5817073170731707,0.3469512195121951
deepseek-coder-6.7b-instruct,greedy,0.7480106353759766,0.5004073977470398,-23.867176055908203,973.1163513660431,751.9531452655792,0.7195121951219512,0.725607577878589,1394.1441504955292,0.6335365853658537,0.6402417242200524,1997.6526894569397,0.5903999999999999,0.5979104548702071,1867.4082713127136,0.6701058201058201,0.6771330664519519,0.47560975609756095,0.401219512195122,0.5951219512195122,0.5975609756097561,0.5606707317073171,0.43353658536585366
deepseek-coder-6.7b-instruct_4bits64gs_HQQ,greedy,0.7532437443733215,0.5070923566818237,-23.756610870361328,1786.8652124404907,1322.691466331482,0.6951219512195121,0.6951219512195121,1748.4610614776611,0.5914634146341463,0.5914634146341463,3599.381754398346,0.5804,0.5819133126934984,3094.0136003494263,0.6347883597883598,0.6349206349206349,0.4716463414634146,0.424390243902439,0.6503048780487805,0.6335365853658537,0.6085365853658536,0.4606707317073171
